timestamp,run_id,notes,model,max_length,batch_size,lr,best_epoch,best_val_loss,best_val_urgency_f1,best_val_emotion_f1,test_urgency_macro_f1,test_urgency_f1_low,test_urgency_f1_medium,test_urgency_f1_high,test_emotion_macro_f1,test_emotion_f1_low,test_emotion_f1_medium,test_emotion_f1_high
2026-03-24 00:00:00,20260324_baseline,Baseline run. max_length=128 mixed precision fp16. No class weights no LR scheduler. Early stopping on val loss (patience=2). Best epoch was 3.,microsoft/deberta-v3-base,128,16,2e-05,3,0.8946,0.5365,0.996,0.5776,0.716,0.3502,0.6667,0.9907,0.996,0.9861,0.9899
2026-03-24 17:34:46,20260324_173446,,microsoft/deberta-v3-base,128,16,2e-05,5,0.8867,0.625,0.9973,0.6491,0.7311,0.5114,0.7047,0.9893,0.994,0.9841,0.9899
2026-03-24 18:24:48,20260324_182448,,microsoft/deberta-v3-base,128,16,2e-05,5,1.2856,0.6432,0.8425,0.6224,0.6962,0.4802,0.6909,0.8348,0.9459,0.7917,0.7667
2026-03-24 20:48:09,20260324_204809,,microsoft/deberta-v3-base,192,16,2e-05,8,1.6259,0.615,0.8453,0.6029,0.5872,0.5917,0.63,0.8624,0.9467,0.8148,0.8256
2026-03-24 21:00:07,20260324_210007,,microsoft/deberta-v3-base,192,16,2e-05,4,1.3063,0.6018,0.8314,0.5801,0.4584,0.5481,0.7338,0.8283,0.9597,0.7934,0.7318
2026-03-24 21:23:03,20260324_212303,,microsoft/deberta-v3-base,192,16,2e-05,6,1.5427,0.6292,0.8409,0.6133,0.6417,0.5061,0.6923,0.8679,0.9508,0.8138,0.8391
2026-03-24 21:43:53,20260324_214353,,microsoft/deberta-v3-base,192,16,1e-05,5,1.2492,0.6233,0.8559,0.615,0.6391,0.4917,0.7143,0.8663,0.9472,0.8205,0.8312
2026-03-24 22:04:06,20260324_220406,,microsoft/deberta-v3-base,192,16,2e-05,3,1.1732,0.637,0.8542,0.6177,0.6604,0.5543,0.6383,0.8499,0.9347,0.8115,0.8037
2026-03-25 11:00:45,20260325_110045,,microsoft/deberta-v3-base,192,16,2e-05,7,1.4292,0.8104,0.8323,0.8012,0.8231,0.7363,0.8442,0.852,0.8906,0.8246,0.8407
2026-03-25 15:51:45,20260325_155145,,microsoft/deberta-v3-base,192,16,1e-05,5e-05,10,1.1576,0.8014,0.832,0.8112,0.8244,0.7565,0.8526,0.8299,0.8762,0.7801,0.8333
2026-03-25 16:08:28,20260325_160828,,microsoft/deberta-v3-base,192,16,1e-05,2e-05,10,1.1908,0.8221,0.8463,0.8029,0.8137,0.7517,0.8432,0.834,0.8743,0.7902,0.8374
2026-03-25 16:57:00,20260325_165700,,microsoft/deberta-v3-base,192,16,2e-05,8,1.3712,0.8169,0.8394,0.8071,0.8258,0.7542,0.8413,0.8611,0.8953,0.834,0.8541
