Scenario,Low,Medium,High
Difficulty Cancelling Service,x,x,
Fraud & Scams,,x,x
Overcharging & Incorrect Billing,x,x,x
Poor Network Coverage,x,x,
3G Shutdown Impact,,x,x
Auto-Renewal Without Consent,x,x,
Billing After Cancellation,,x,x
High Early Termination Fees,,x,x
Ineffective AI / Chatbot Support,x,x,
Unfulfilled Fix Promises,,x,x
Long Call-Waiting Times,x,x,
Wrong Sale Due to Agent Mistake,,x,x
Loyalty Penalty,x,x,
Mid-Contract Price Increase,x,x,
Complete Service Outage,,,x
Faulty Hardware / Handset Issues,x,x,x
Hidden Fees & Charges,x,x,
Lack of Progress Updates,x,x,
Poor Complaint Handling,,x,x
Slow Broadband Speeds,x,x,
